Tipe    , Baris Excel, Kode AHSP , Nama AHSP                                                                                                                                                               , Kategori, Kode Item, Uraian Item                                                    , Satuan, Koefisien, Duplikat dari Baris, Alasan
DUPLIKAT,         755, 2.2.1.1.4 , "1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)"                                  , TK      , TK-0021  , Tukang besi/besi beton                                         , OH    ,   0.0025 ,                 752, Sama persis dengan baris 752 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         757, 2.2.1.1.4 , "1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)"                                  , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 756, Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         758, 2.2.1.1.4 , "1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)"                                  , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 756, Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         759, 2.2.1.1.4 , "1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)"                                  , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 756, Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         760, 2.2.1.1.4 , "1 kg Penulangan kolom, balok, ring balk, sloof, dan shearwall untuk BjTS diameter ≥ 12 mm, cara Semi mekanis (untuk bangunan gedung)"                                  , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.028  ,                 756, Sama persis dengan baris 756 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         769, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.00002,                 768, Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         770, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.00002,                 768, Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         772, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00004,                 771, Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         773, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00004,                 771, Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         775, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , ALT     , PR-0041  , Cutter besi beton                                              , hari  ,   0.0001 ,                 774, Sama persis dengan baris 774 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         776, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , ALT     , PR-0041  , Cutter besi beton                                              , hari  ,   0.0001 ,                 774, Sama persis dengan baris 774 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         777, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.00025,                 768, Sama persis dengan baris 768 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         778, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00025,                 771, Sama persis dengan baris 771 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         780, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.0004 ,                 779, Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         781, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.0004 ,                 779, Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         783, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0021  , Tukang besi/besi beton                                         , OH    ,   0.0004 ,                 782, Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         784, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0021  , Tukang besi/besi beton                                         , OH    ,   0.0004 ,                 782, Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         785, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.0025 ,                 779, Sama persis dengan baris 779 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         786, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , TK      , TK-0021  , Tukang besi/besi beton                                         , OH    ,   0.0025 ,                 782, Sama persis dengan baris 782 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         788, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 787, Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         789, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 787, Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
DUPLIKAT,         790, 2.2.1.1.5 , 1 kg Penulangan Wiremesh M10 untuk slab atau dinding atau Ferrocement secara manual (untuk Bangunan Gedung)                                                             , BHN     , B-0134   , Kawat tali beton                                               , kg    ,   0.005  ,                 787, Sama persis dengan baris 787 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2037, 3.1.3.7   , Pemasangan 1 m2  Atap Metal Lembaran                                                                                                                                    , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0022 ,                2036, Sama persis dengan baris 2036 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2039, 3.1.3.7   , Pemasangan 1 m2  Atap Metal Lembaran                                                                                                                                    , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.0067 ,                2038, Sama persis dengan baris 2038 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2042, 3.1.3.7   , Pemasangan 1 m2  Atap Metal Lembaran                                                                                                                                    , TK      , TK-0008  , Tukang                                                         , OH    ,   0.0667 ,                2040, Sama persis dengan baris 2040 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2044, 3.1.3.7   , Pemasangan 1 m2  Atap Metal Lembaran                                                                                                                                    , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.1333 ,                2043, Sama persis dengan baris 2043 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2464, 3.11.4.12 , Pemasangan 1 m2 Teralis Besi Strip                                                                                                                                      , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0074 ,                2463, Sama persis dengan baris 2463 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2466, 3.11.4.12 , Pemasangan 1 m2 Teralis Besi Strip                                                                                                                                      , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.0222 ,                2465, Sama persis dengan baris 2465 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2470, 3.11.4.12 , Pemasangan 1 m2 Teralis Besi Strip                                                                                                                                      , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.2222 ,                2468, Sama persis dengan baris 2468 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2671, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0033 ,                2670, Sama persis dengan baris 2670 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2672, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0076 ,                2670, Sama persis dengan baris 2670 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2677, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.0228 ,                2673, Sama persis dengan baris 2673 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2679, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , BHN     , B-0086   , Kawat Las                                                      , kg    ,   0.098  ,                2678, Sama persis dengan baris 2678 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2682, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , BHN     , B-0424   , Cat Zyncromate                                                 , kg    ,   0.1    ,                2681, Sama persis dengan baris 2681 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2684, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.2    ,                2674, Sama persis dengan baris 2674 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2687, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.4551 ,                2674, Sama persis dengan baris 2674 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2691, 3.13.3    , Pengelasan 1 m’ dengan Las Listrik                                                                                                                                      , BHN     , B-0427   , "Pipa Besi Hitam 3"""                                          , m’    ,   4.8    ,                2690, Sama persis dengan baris 2690 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2831, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.05   ,                2830, Sama persis dengan baris 2830 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2834, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0008  , Tukang                                                         , OH    ,   0.143  ,                2833, Sama persis dengan baris 2833 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2836, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.286  ,                2835, Sama persis dengan baris 2835 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2837, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.3    ,                2830, Sama persis dengan baris 2830 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2839, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0001  , Mandor                                                         , OH    ,   0.9    ,                2832, Sama persis dengan baris 2832 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2840, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0001  , Mandor                                                         , OH    ,   0.9    ,                2832, Sama persis dengan baris 2832 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2844, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , BHN     , B-0457   , "Stop Keran PVC 3/4"""                                         , buah  ,   1      ,                2842, Sama persis dengan baris 2842 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2846, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , BHN     , B-0459   , "Pipa PVC 3/4"""                                               , m’    ,   2      ,                2845, Sama persis dengan baris 2845 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2847, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0008  , Tukang                                                         , OH    ,   3      ,                2833, Sama persis dengan baris 2833 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        2848, 3.18.5.2  , "Pemasangan 1 Buah Bak Mandi Pasangan Bata Volume 0,30 m3"                                                                                                              , TK      , TK-0005  , Pekerja                                                        , OH    ,   6      ,                2835, Sama persis dengan baris 2835 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3990, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0167 ,                3988, Sama persis dengan baris 3988 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3992, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , BHN     , B-0175   , Pasir Pasang                                                   , m3    ,   0.027  ,                3991, Sama persis dengan baris 3991 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3993, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.05   ,                3989, Sama persis dengan baris 3989 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3996, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , TK      , TK-0008  , Tukang                                                         , OH    ,   0.5    ,                3994, Sama persis dengan baris 3994 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3997, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , TK      , TK-0005  , Pekerja                                                        , OH    ,   1      ,                3995, Sama persis dengan baris 3995 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        3999, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , BHN     , B-0250   , Semen Warna                                                    , kg    ,   1.5    ,                3998, Sama persis dengan baris 3998 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4003, 3.9.8.3   , Pemasangan 1 m2  Lantai Keramik Ukuran 40 cm x 40 cm (1SP : 2PP)                                                                                                        , BHN     , B-0152   , Semen Portland                                                 , kg    ,  13.632  ,                4002, Sama persis dengan baris 4002 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4256, 4.1.11.10 , Penyiraman  untuk  1  Hari  (dengan  Sprinkler*)  untuk  1  m2 Rumput  di  Tanah  Tidak  Subur  di  Lahan  Datar  dan  Memiliki Jaringan Air Yang Baik                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00005,                4255, Sama persis dengan baris 4255 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4258, 4.1.11.10 , Penyiraman  untuk  1  Hari  (dengan  Sprinkler*)  untuk  1  m2 Rumput  di  Tanah  Tidak  Subur  di  Lahan  Datar  dan  Memiliki Jaringan Air Yang Baik                  , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.00051,                4257, Sama persis dengan baris 4257 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4260, 4.1.11.10 , Penyiraman  untuk  1  Hari  (dengan  Sprinkler*)  untuk  1  m2 Rumput  di  Tanah  Tidak  Subur  di  Lahan  Datar  dan  Memiliki Jaringan Air Yang Baik                  , BHN     , B-0665   , Air bersih                                                     , liter ,   8      ,                4259, Sama persis dengan baris 4259 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4293, 4.1.12.3  , Penyiraman untuk 1 Hari di Tanah Subur di Kelerengan Tanah 1:0.5 (45° - 63°) per m2                                                                                     , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00022,                4292, Sama persis dengan baris 4292 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4296, 4.1.12.3  , Penyiraman untuk 1 Hari di Tanah Subur di Kelerengan Tanah 1:0.5 (45° - 63°) per m2                                                                                     , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.00111,                4295, Sama persis dengan baris 4295 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4298, 4.1.12.3  , Penyiraman untuk 1 Hari di Tanah Subur di Kelerengan Tanah 1:0.5 (45° - 63°) per m2                                                                                     , BHN     , B-0665   , Air bersih                                                     , liter ,  10      ,                4297, Sama persis dengan baris 4297 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4304, 4.1.13.3  , Penyiraman  untuk  1  Hari  di  Tanah  Tidak  Subur  di  Kelerengan Tanah 1:0.5 (45° - 63°) per m2 untuk Sumber Air Dari Luar Lokasi Pekerjaan                          , TK      , TK-0001  , Mandor                                                         , OH    ,   0.00022,                4303, Sama persis dengan baris 4303 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4307, 4.1.13.3  , Penyiraman  untuk  1  Hari  di  Tanah  Tidak  Subur  di  Kelerengan Tanah 1:0.5 (45° - 63°) per m2 untuk Sumber Air Dari Luar Lokasi Pekerjaan                          , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.00111,                4306, Sama persis dengan baris 4306 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        4309, 4.1.13.3  , Penyiraman  untuk  1  Hari  di  Tanah  Tidak  Subur  di  Kelerengan Tanah 1:0.5 (45° - 63°) per m2 untuk Sumber Air Dari Luar Lokasi Pekerjaan                          , BHN     , B-0665   , Air bersih                                                     , liter ,  10      ,                4308, Sama persis dengan baris 4308 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5463, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0666   , pasir pasang : 5 %                                             , m3    ,   0.016  ,                5462, Sama persis dengan baris 5462 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5465, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , TK      , TK-0001  , Mandor                                                         , OH    ,   0.0167 ,                5464, Sama persis dengan baris 5464 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5467, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0668   , Anti Rayap pada Tanah                                          , kg    ,   0.02   ,                5466, Sama persis dengan baris 5466 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5469, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , TK      , TK-0034  , Kepala Tukang Tanam                                            , OH    ,   0.05   ,                5468, Sama persis dengan baris 5468 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5471, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0667   , pupuk organik : 20 %                                           , m3    ,   0.065  ,                5470, Sama persis dengan baris 5470 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5473, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.1    ,                5472, Sama persis dengan baris 5472 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5475, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , TK      , TK-0035  , Tukang Tanam                                                   , OH    ,   0.1    ,                5474, Sama persis dengan baris 5474 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5477, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0669   , tanah subur : 75 %                                             , m3    ,   0.244  ,                5476, Sama persis dengan baris 5476 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5479, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , ALT     , PR-0103  , Sewa crane kapasitas 1 ton                                     , jam   ,   0.7    ,                5478, Sama persis dengan baris 5478 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5483, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0704   , tali/pengikat sejenisnya                                       , m'    ,  10      ,                5482, Sama persis dengan baris 5482 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5485, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0756   , bambu* dia. 10-12 cm                                           , m'    ,  18      ,                5484, Sama persis dengan baris 5484 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5488, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0673   , Steger                                                         ,       ,   0      ,                5486, Sama persis dengan baris 5486 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        5489, 4.1.2.8.2 , "Penanaman  1  Buah  Pohon  Besar  Beringin  (Ficus  Benjamina) Diameter 25-30 cm, Tinggi Diatas 6 meter, Polybag 250 L"                                                , BHN     , B-0674   , Media Tanam                                                    ,       ,   0      ,                5487, Sama persis dengan baris 5487 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6458, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0674   , Media Tanam                                                    ,       ,   0      ,                6452, Sama persis dengan baris 6452 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6462, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0036  , Tukang Tanam                                                   ,       ,   0      ,                6453, Sama persis dengan baris 6453 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6463, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0037  , Kepala Tukang Tanam                                            ,       ,   0      ,                6454, Sama persis dengan baris 6454 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6464, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0038  , Mandor                                                         ,       ,   0      ,                6455, Sama persis dengan baris 6455 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6466, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0856   , Anti Rayap pada Tanah                                          ,       ,   0      ,                6457, Sama persis dengan baris 6457 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6467, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0674   , Media Tanam                                                    ,       ,   0      ,                6452, Sama persis dengan baris 6452 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6468, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0857   , tanah subur : 75 %                                             ,       ,   0      ,                6459, Sama persis dengan baris 6459 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6469, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0858   , pupuk organik : 20 %                                           ,       ,   0      ,                6460, Sama persis dengan baris 6460 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6470, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0859   , pasir pasang : 5 %                                             ,       ,   0      ,                6461, Sama persis dengan baris 6461 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6471, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0036  , Tukang Tanam                                                   ,       ,   0      ,                6453, Sama persis dengan baris 6453 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6472, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0037  , Kepala Tukang Tanam                                            ,       ,   0      ,                6454, Sama persis dengan baris 6454 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6473, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , TK      , TK-0038  , Mandor                                                         ,       ,   0      ,                6455, Sama persis dengan baris 6455 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        6475, 4.1.4.3.19, "Penanaman 1 m2 Semak, Walisongo/Umbrella Tree (Schefflera Arboricola), 12 Buah/ m2, Polybag 20 L"                                                                      , BHN     , B-0856   , Anti Rayap pada Tanah                                          ,       ,   0      ,                6457, Sama persis dengan baris 6457 (kategori + kode_item + uraian + satuan)
