Tipe    , Baris Excel, Kode AHSP , Nama AHSP                                                                                                                                                               , Kategori, Kode Item, Uraian Item                                                    , Satuan, Koefisien, Duplikat dari Baris, Alasan
DUPLIKAT,        9649, 5.5.2.28  , Pemasangan 1 Unit Fan Louvre 900 x 500 mm                                                                                                                               , TK      , TK-0008  , Tukang                                                         , OH    ,   0.847  ,                9647, Sama persis dengan baris 9647 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9719, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0001  , Mandor                                                         , OH    ,   0.035  ,                9718, Sama persis dengan baris 9718 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9720, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0001  , Mandor                                                         , OH    ,   0.035  ,                9718, Sama persis dengan baris 9718 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9722, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.106  ,                9721, Sama persis dengan baris 9721 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9723, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0002  , Kepala Tukang                                                  , OH    ,   0.106  ,                9721, Sama persis dengan baris 9721 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9725, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.633  ,                9724, Sama persis dengan baris 9724 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9726, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0005  , Pekerja                                                        , OH    ,   0.633  ,                9724, Sama persis dengan baris 9724 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9728, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0008  , Tukang                                                         , OH    ,   1.058  ,                9727, Sama persis dengan baris 9727 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9729, 5.5.2.42  , Pemasangan 1 Unit Exhaust Louvre 900 x 500 mm                                                                                                                           , TK      , TK-0008  , Tukang                                                         , OH    ,   1.058  ,                9727, Sama persis dengan baris 9727 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9760, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.127  ,                9758, Sama persis dengan baris 9758 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9761, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.127  ,                9758, Sama persis dengan baris 9758 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9762, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.127  ,                9758, Sama persis dengan baris 9758 (kategori + kode_item + uraian + satuan)
DUPLIKAT,        9763, 5.5.2.6   , Pemasangan 1 Unit Inline Fan ; 700 CFM                                                                                                                                  , TK      , TK-0001  , Mandor                                                         , OH    ,   0.183  ,                9758, Sama persis dengan baris 9758 (kategori + kode_item + uraian + satuan)
